session_test_id;age;gender;session_uuid;trial_id;rating_stimulus;rating_score;rating_time;rating_comment
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;trial;C4;100;70440;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;trial;C5;93;70440;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;trial;C2;100;70440;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;trial;C1;94;70440;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;trial;C6;0;70440;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;trial;C3;70;70440;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1A_LL;C6;0;47989;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1A_LL;C1;100;47989;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1A_LL;C2;100;47989;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1A_LL;C3;78;47989;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1A_LL;C4;62;47989;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1A_LL;C5;10;47989;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N8D1A_LL;C1;100;55879;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N8D1A_LL;C5;11;55879;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N8D1A_LL;C6;0;55879;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N8D1A_LL;C2;89;55879;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N8D1A_LL;C3;85;55879;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N8D1A_LL;C4;68;55879;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N6D1B_LL;C1;100;86146;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N6D1B_LL;C4;71;86146;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N6D1B_LL;C3;91;86146;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N6D1B_LL;C5;68;86146;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N6D1B_LL;C2;100;86146;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N6D1B_LL;C6;0;86146;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1B_LL;C3;77;47415;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1B_LL;C6;0;47415;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1B_LL;C4;92;47415;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1B_LL;C1;100;47415;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1B_LL;C2;88;47415;
eurasip;29;male;62231518-5e08-4608-904b-701cc96a06dc;N4D1B_LL;C5;15;47415;
